Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nepal,NPL,1983,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,129.0657439
Nepal,NPL,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,67.84317552
Nepal,NPL,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,112.6106544
Nepal,NPL,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,115.3255403
Nepal,NPL,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,97.00558737
Nepal,NPL,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,94.94190975
Nepal,NPL,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,70.40156459
Nepal,NPL,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,78.94401558
Nepal,NPL,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,77.08678353
Nepal,NPL,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,68.96524837
Nepal,NPL,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,54.87484657
Nepal,NPL,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,26.54369496
Nepal,NPL,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,35.8098673
Nepal,NPL,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,25.08669725
Nepal,NPL,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,18.20272727
Nepal,NPL,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.364864865
Nepal,NPL,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.608928571
Nepal,NPL,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.642035398
Nepal,NPL,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.568859649
Nepal,NPL,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.025217391
Nepal,NPL,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.0587473
Nepal,NPL,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,16.68094218
Nepal,NPL,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,30.79660297
Nepal,NPL,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,31.01699235
Nepal,NPL,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,40.16337645
Nepal,NPL,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,51.76600912
Nepal,NPL,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,45.8656882
Nepal,NPL,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,44.00769066
Nepal,NPL,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,40.09027897
Nepal,NPL,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,39.84746562
Nepal,NPL,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,31.55238994
Nepal,NPL,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,35.23525115
Nepal,NPL,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.89672978
Nepal,NPL,1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,31.24978452
Nepal,NPL,1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,29.08408149
Nepal,NPL,1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,24.33468788
Nepal,NPL,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,23.45904053
Nepal,NPL,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.53642671
