District,Interval_Start,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month
Baglung,9/30/2018,28.3,83.6,4.108905908,79.39789934,8.580525164,68.64938731,12.5395186,5.803632385,17.58682713,8.626739606,8.960153173,11.44043764,1.982669584,4.124376368,0.388227571,3.735886214,2.030393873,3.645798687,0.498512035,3.147483589,2018,9
Baitadi,1/1/1981,29.5,80.5,1.51671671,73.7964752,6.043413838,54.34444517,8.950979112,-0.85171671,15.4370953,3.700424282,11.73686684,8.515189295,2.305522193,4.906233681,0.389778068,4.516214099,2.269353786,4.339301567,0.480254569,3.859151436,1981,1
Baitadi,3/12/1985,29.5,80.5,1.300900783,73.83060052,5.757480418,49.26956266,10.04708225,-1.427193211,16.73295692,4.530261097,12.20278068,9.827682768,2.377447781,5.10348564,0.391964752,4.711409922,2.329007833,4.4995953,0.484745431,4.014843342,1985,3
Baitadi,5/22/1989,29.5,80.5,0.919830287,73.83657963,6.049882507,49.71825718,10.40407963,-0.847245431,17.05936684,5.090372063,11.96889687,10.53954308,2.400972585,5.248785901,0.3854047,4.863198433,2.326455614,4.583668407,0.476103133,4.107428198,1989,5
Baitadi,8/1/1993,29.5,80.5,1.014543081,73.82715405,6.265248042,51.65322454,10.20569191,-0.516690601,16.74738903,5.012082245,11.7352611,10.25603133,2.383061358,5.219862924,0.388844648,4.831259791,2.310385117,4.554889034,0.4804047,4.074353786,1993,8
Baitadi,10/11/1997,29.5,80.5,1.124288512,73.83568538,6.050300261,49.60571149,10.12432115,-1.319314621,16.78847911,4.882552219,11.90585509,9.956083551,2.355966057,5.104438642,0.388779373,4.715456919,2.285704961,4.435130548,0.481436031,3.953642298,1997,10
Baitadi,12/21/2001,29.5,80.5,1.619967363,73.8719517,6.096938642,52.93287859,9.730398172,-0.674614883,16.11284595,4.591018277,11.52204961,9.337134465,2.29247389,4.877885117,0.396827676,4.481142298,2.255796345,4.292604439,0.493446475,3.799373368,2001,12
Baitadi,3/2/2006,29.5,80.5,2.128994778,73.86210183,6.738035248,57.68214752,9.95787859,0.788805483,15.99845953,4.925613577,11.07293734,9.54020235,2.240822454,4.683322454,0.416031332,4.267513055,2.221194517,4.134353786,0.516821149,3.617447781,2006,3
Baitadi,5/12/2010,29.5,80.5,2.643648825,73.81586815,7.313746736,64.16139687,9.878446475,2.29348564,15.54068538,5.096690601,10.44409269,9.510691906,2.255613577,4.716801567,0.412911227,4.303975196,2.255835509,4.242447781,0.518929504,3.723590078,2010,5
Baitadi,7/22/2014,29.5,80.5,2.073350751,73.88775963,7.521208361,61.67010451,10.66363161,2.513200523,16.47784455,5.997903331,10.47993468,10.34916395,2.307589811,4.967550621,0.424761594,4.542952319,2.30661659,4.448719791,0.533866754,3.914781189,2014,7
Baitadi,9/30/2018,29.5,80.5,1.838774617,73.93866521,6.72809628,64.09772429,8.591684902,1.173873085,14.57765864,3.614485777,10.96299781,7.895273523,2.202450766,4.642888403,0.404398249,4.238774617,2.21452954,4.196630197,0.49892779,3.697789934,2018,9
Bajang,1/1/1981,29.6,81.2,1.332362924,67.8669517,5.276083551,58.97340731,4.31631201,-3.691194517,10.97082898,-1.085711488,12.05659922,4.210750653,2.513178851,5.495169713,0.503622715,4.991455614,2.470182768,4.91866188,0.624125326,4.294451697,1981,1
Bajang,3/12/1985,29.6,81.2,1.14022846,67.91326371,5.064758486,53.34084204,5.450274151,-4.126142298,12.33178198,-0.190874674,12.52250653,5.652637076,2.607389034,5.759608355,0.515234987,5.244229765,2.549765013,5.133446475,0.635900783,4.497597911,1985,3
Bajang,5/22/1989,29.6,81.2,0.764889034,67.9193799,5.300750653,53.28975196,5.90906658,-3.630150131,12.79248695,0.452956919,12.33962794,6.498237598,2.650770235,5.970750653,0.484281984,5.486409922,2.567219321,5.283857702,0.597715405,4.686116188,1989,5
Bajang,8/1/1993,29.6,81.2,0.697545692,67.90876632,5.382839426,53.78441253,5.817486945,-3.581011749,12.68253916,0.427917755,12.25460836,6.394588773,2.644086162,6.029928198,0.459281984,5.570587467,2.55323107,5.338387728,0.567238903,4.77098564,1993,8
Bajang,10/11/1997,29.6,81.2,0.836272846,67.92018277,5.205789817,51.74866188,5.728681462,-4.307859008,12.70752611,0.263511749,12.44395561,6.085195822,2.602251958,5.849092689,0.483355091,5.365691906,2.517578329,5.158909922,0.595848564,4.563126632,1997,10
Bajang,12/21/2001,29.6,81.2,1.268746736,67.94996084,5.251520888,55.48286554,5.251214099,-3.742545692,11.9268799,-0.110620104,12.03755875,5.371546997,2.518446475,5.555345953,0.490672324,5.064719321,2.465019582,4.932278068,0.602251958,4.329967363,2001,12
Bajang,3/2/2006,29.6,81.2,1.871331593,67.94851828,5.867023499,61.84744125,5.420979112,-2.104765013,11.65009791,0.215718016,11.43427546,5.411762402,2.439203655,5.281181462,0.523407311,4.757656658,2.411997389,4.708439948,0.648505222,4.059980418,2006,3
Bajang,5/12/2010,29.6,81.2,2.189112272,67.90609661,6.347721932,68.42306789,5.34805483,-0.812565274,11.20759791,0.380776762,10.82687337,5.305639687,2.467062663,5.314406005,0.50729765,4.807075718,2.450620104,4.800032637,0.630339426,4.169543081,2010,5
Bajang,7/22/2014,29.6,81.2,1.85354017,67.98222077,6.545832789,65.86011757,6.193533638,-0.503030699,12.18357936,1.348314827,10.83524494,6.248458524,2.509268452,5.516623122,0.51260614,5.004239059,2.493331156,4.9634226,0.643638145,4.319954278,2014,7
Bajang,9/30/2018,29.6,81.2,1.710109409,67.99862144,5.825098468,69.07785558,3.972122538,-1.981772429,10.08706783,-1.204442013,11.29135667,3.508708972,2.394551422,5.201728665,0.485010941,4.716914661,2.396345733,4.733829322,0.591181619,4.142603939,2018,9
Banke,1/1/1981,28.1,81.7,2.968727154,92.24182115,9.261214099,49.98272846,21.3342624,9.102950392,27.60443211,16.31941906,11.28488251,20.63460183,2.457721932,4.199412533,0.98497389,3.214249347,3.2295953,4.806207572,1.377956919,3.428368146,1981,1
Banke,3/12/1985,28.1,81.7,2.652160574,92.22553525,8.734236292,45.2421671,22.42674282,8.008805483,28.9444517,17.05465405,11.88968668,21.91756527,2.546729765,4.377650131,1.00901436,3.368746736,3.326631854,4.982127937,1.425842037,3.556331593,1985,3
Banke,5/22/1989,28.1,81.7,2.436390339,92.23221932,9.095084856,45.32197128,22.67495431,8.413870757,29.11486945,17.45563316,11.65907311,22.32096606,2.553629243,4.431455614,0.974523499,3.456801567,3.327950392,5.004484334,1.375561358,3.629151436,1989,5
Banke,8/1/1993,28.1,81.7,1.578139687,92.22659269,8.731148825,42.16965405,22.88291123,7.566984334,29.54425587,17.53953655,12.0049282,22.6662859,2.589451697,4.626148825,0.941775457,3.684503916,3.32868799,5.070835509,1.335091384,3.735744125,1993,8
Banke,10/11/1997,28.1,81.7,1.897167102,92.24013708,8.814732376,43.57939948,22.4512859,7.540208877,29.04507833,17.28710836,11.75820496,22.02456266,2.444321149,4.35424282,0.881507833,3.472787206,3.118981723,4.766057441,1.21323107,3.552715405,1997,10
Banke,12/21/2001,28.1,81.7,2.332199739,92.29216057,9.022924282,46.829047,22.19557441,8.596899478,28.57337467,17.15501305,11.41840078,21.66900131,2.446292428,4.260881201,0.917539164,3.34328329,3.167101828,4.797826371,1.275097911,3.522656658,2001,12
