Latitude,Longitude,Year,Month,Drought_Index,temp_2m_lag1,precip_lag1,wetbulb_diff,avg_windspeed,max_avg_windspeed,Temp_2m_scaled,Pressure_scaled,Humidity_2m_scaled,WetBulbTemp_2m_scaled,EarthSkinTemp_scaled,WindSpeed_10m_scaled,Heat_Stress_Index_scaled
27.9,83.2,1981,1,1.3932275821617828,,,12.910548307,3.082078982,4.896334856499999,0.8575540674782713,0.8629900382859068,0.6301403019136398,0.7713707057039579,0.8321199821425648,0.4296263924432806,0.8572525242219456
27.9,83.2,1985,3,1.4949482452338119,22.0810705,2.781455614,14.654973887999999,3.1515110965,5.0064980420000005,0.8871774671653103,0.8626359550188698,0.5880086030776446,0.7389955250091809,0.8666506909418296,0.47809384392742915,0.8850303732523522
27.9,83.2,1989,5,1.4904171563974336,22.98943864,2.41825718,14.443159269,3.2022258485000004,5.0402284595,0.894038476731284,0.8628131488102668,0.6291196510936283,0.7553446323421216,0.8761998411997859,0.5040004004053422,0.8929560930309255
27.9,83.2,1993,8,1.6077808501081796,23.19982376,2.475646214,14.956037859999999,3.1631919059999998,5.0913218014999995,0.8944297316240098,0.8626957292977462,0.6078153418486341,0.7359486930277174,0.8764880779016054,0.4921396693028315,0.8927143712365809
27.9,83.2,1997,10,1.5630262829030626,23.21182115,1.886383812,14.606442559,3.0163642299999998,4.8221377284999996,0.8835327089451654,0.8630180243839178,0.619620348614109,0.7365469882834018,0.8624058085650076,0.41627350537455277,0.8823879038332336
27.9,83.2,2001,12,1.4968436021082838,22.87767624,2.05694517,13.503407310999998,2.995336162,4.7526664489999995,0.8765171559484007,0.8643409695638105,0.6277187438799527,0.770930135944929,0.8537461222004005,0.393908163570011,0.8757542930298444
27.9,83.2,2006,3,1.165544745698325,22.66255222,2.355006527,11.233609659999999,2.8496050915,4.5171997390000005,0.8709037768134537,0.86340663374158,0.7599513097525019,0.8521595259379857,0.8440234846007691,0.3023084637958642,0.8741352529177491
27.9,83.2,2010,5,1.0682491190233083,22.49042428,3.995685379,10.303570500000001,2.9228394255,4.659249346999999,0.8710525730900934,0.8622170781270735,0.8085935668765483,0.8883507032902598,0.8462588921232777,0.34389754156134833,0.8757078210348914
27.9,83.2,2014,7,1.0486246938607446,22.49498695,4.486573107,10.3113194,2.895858916,4.5802449375,0.8837929562474856,0.8633741316070545,0.8507859419090169,0.9031787789239396,0.8515087188971149,0.315827104217832,0.8894236272737885
27.9,83.2,2018,9,1.222943442453265,22.88565643,4.649614631,9.50347922,2.8420897155000002,4.560754922999999,0.8396355463695728,0.8672199807063761,0.7753645290765638,0.8820280476715,0.8081429360611758,0.2845668932059102,0.843962686930414
