,District,Interval_Start,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Elevation
0,Arghakhanchi,1981-01-01,27.9,83.2,2.785091503267973,93.1164705882353,9.356372549019609,48.62655555555556,22.07947058823529,9.19108496732026,28.37983006535948,17.195196078431373,11.184470588235294,21.5806862745098,2.6125098039215686,4.493222222222222,1.002156862745098,3.490895424836601,3.5463986928104574,5.287928104575164,1.4110196078431374,3.8770522875817,1360.0
1,Arghakhanchi,1985-03-11,27.9,83.2,2.418198433420365,93.1024412532637,8.954497389033943,45.50991514360314,22.97922323759791,8.316710182767624,29.44256527415144,17.814014360313315,11.628400783289816,22.642140992167104,2.6903720626631853,4.641057441253264,1.0381788511749348,3.602741514360313,3.61619451697128,5.382206266318539,1.478420365535248,3.904092689295039,1360.0
2,Arghakhanchi,1989-05-21,27.9,83.2,2.4352610966057444,93.10912532637076,9.322624020887728,45.45033289817233,23.20490861618799,8.736442558746736,29.573942558746737,18.16097911227154,11.413048302872063,22.95975848563969,2.7304699738903397,4.655195822454308,1.05943864229765,3.5957832898172324,3.677708877284595,5.430169712793734,1.533929503916449,3.8962271540469975,1360.0
3,Arghakhanchi,1993-07-31,27.9,83.2,1.9243155149934807,93.10290743155149,9.154765319426335,44.012764015645374,23.217066492829208,8.27439374185137,29.701414602346805,18.1270925684485,11.57429595827901,22.968376792698827,2.7096610169491524,4.767926988265971,0.9951499348109516,3.772770534550196,3.6144850065189047,5.410541069100392,1.4199022164276405,3.990677966101695,1360.0
4,Arghakhanchi,1997-10-12,27.9,83.2,2.0569451697127934,93.11778720626631,9.250718015665797,45.1281135770235,22.87767624020888,8.27123368146214,29.313812010443865,17.953159268929504,11.360300261096606,22.52391644908616,2.5941318537859006,4.509889033942558,0.9609725848563968,3.5486618798955614,3.438596605744125,5.134386422976501,1.3378981723237595,3.796331592689295,1360.0
5,Arghakhanchi,2001-12-22,27.9,83.2,2.3534703196347038,93.17477495107632,9.321382909328117,47.410730593607305,22.66030006523157,9.152022178734509,28.93041095890411,17.76501630789302,11.16539465101109,22.251500326157863,2.55989562948467,4.38730593607306,0.9742987606001304,3.4132746249184605,3.4309262883235485,5.118545335942596,1.3874755381604698,3.731167645140248,1360.0
6,Arghakhanchi,2006-03-04,27.9,83.2,3.9956853785900783,93.1338903394256,10.540026109660577,54.60236292428199,22.49829634464752,11.258707571801567,28.288061357702347,17.906259791122714,10.381788511749347,21.961168407310705,2.420019582245431,4.134725848563969,0.928191906005222,3.206599216710183,3.281370757180157,4.903120104438642,1.3198433420365536,3.5831462140992167,1360.0
7,Arghakhanchi,2010-05-14,27.9,83.2,4.49838772845953,93.0833355091384,10.995933420365535,57.6536227154047,22.491318537859005,12.205770234986948,28.088518276762404,18.007721932114883,10.08072454308094,22.017545691906005,2.482859007832898,4.285274151436031,0.9835117493472584,3.301579634464752,3.362708877284595,5.031514360313316,1.4239490861618798,3.607558746736293,1360.0
8,Arghakhanchi,2014-07-24,27.9,83.2,4.6317742987606,93.13373124592304,11.37703196347032,56.96912589693412,22.88500978473581,12.581656881930854,28.426705805609917,18.522537508153945,9.904311806914546,22.184076973255056,2.437488584474886,4.151539465101109,0.9452380952380952,3.206236138290933,3.3481996086105674,5.002289628180039,1.38133072407045,3.621017612524462,1360.0
9,Arghakhanchi,2018-10-04,27.899999999999995,83.2,3.5723568281938323,93.29837004405286,10.647444933920704,58.60262114537445,21.51876651982379,11.976563876651982,27.13105726872247,17.243898678414094,9.887753303964756,20.821211453744493,2.3966519823788546,4.128414096916299,0.9165418502202644,3.2120264317180616,3.2992511013215857,5.006960352422907,1.3016299559471365,3.7056167400881055,1360.0
10,Baglung,1981-01-01,28.3,83.6,2.322856209150326,79.2446862745098,7.489901960784313,56.51349673202614,13.10418954248366,3.248679738562091,18.87327450980392,8.723535947712419,10.14981045751634,12.438705882352942,2.1892875816993467,4.697777777777778,0.4048627450980392,4.292928104575164,2.191307189542484,4.096607843137255,0.5212679738562092,3.5752549019607844,820.0
11,Baglung,1985-03-11,28.3,83.6,2.002186684073107,79.26212140992168,7.191338120104438,52.40164490861619,14.004229765013054,2.612695822454308,20.02915143603133,9.350946475195824,10.678146214099216,13.496984334203656,2.2893211488250653,4.894856396866841,0.4291318537859007,4.465626631853786,2.274634464751958,4.24532637075718,0.5563838120104438,3.689177545691906,820.0
12,Baglung,1989-05-21,28.3,83.6,1.8921540469973888,79.2729046997389,7.559281984334204,53.30453002610965,14.179249347258486,3.1622519582245427,20.12789817232376,9.666494778067884,10.461227154046998,13.8852545691906,2.307023498694517,4.981579634464752,0.4242819843342036,4.557552219321149,2.289477806788512,4.293909921671019,0.5527415143603133,3.7412271540469977,820.0
13,Baglung,1993-07-31,28.300000000000004,83.6,1.5167275097783572,79.2641329856584,7.40503259452412,51.405743155149935,14.182073011734028,2.651238591916558,20.25567144719687,9.602105606258148,10.653683181225556,13.883754889178618,2.318624511082138,5.065104302477184,0.4206649282920469,4.644282920469361,2.292698826597132,4.365488917861799,0.5385528031290743,3.826929595827901,820.0
14,Baglung,1997-10-12,28.3,83.6,1.569706266318538,79.2720953002611,7.402317232375979,51.42862271540469,14.106912532637075,2.4439817232375978,20.21952349869452,9.593100522193213,10.62630548302872,13.679392950391646,2.283864229765013,4.9675,0.4131331592689294,4.554477806788512,2.2326044386422974,4.22425587467363,0.527695822454308,3.696579634464752,820.0
15,Baglung,2001-12-22,28.3,83.6,2.122622309197652,79.31581865622961,7.482283105022831,54.80272667971298,13.720958904109589,3.186216568819309,19.61423352902805,9.28897586431833,10.325375081539464,13.108180039138944,2.2031833007175474,4.746562296151337,0.4021395955642531,4.34440313111546,2.1708414872798434,4.066510110893673,0.51044357469015,3.556125244618395,820.0
16,Baglung,2006-03-04,28.3,83.6,3.479634464751958,79.29327023498693,8.362617493472586,61.6397454308094,13.80427545691906,5.048426892950391,19.23126631853786,9.569334203655352,9.661919060052218,13.095385117493471,2.117375979112272,4.44427545691906,0.4188120104438642,4.025535248041775,2.1130156657963446,3.829686684073107,0.5257375979112271,3.3035378590078333,820.0
17,Baglung,2010-05-14,28.3,83.6,4.325933420365535,79.2482637075718,8.74248041775457,64.76442558746737,13.800391644908617,5.899601827676241,19.047486945169712,9.64605091383812,9.401351174934726,13.192565274151436,2.1598237597911227,4.538439947780679,0.4408681462140992,4.097454308093995,2.176390339425588,3.969157963446475,0.5625522193211488,3.406690600522193,820.0
18,Baglung,2014-07-24,28.3,83.6,5.459856490541421,79.31606653620352,9.31856490541422,67.66776908023483,13.996855838225702,6.922622309197651,18.89549249836921,10.159197651663405,8.736249184605349,12.986881930854532,2.0635420743639923,4.269575994781475,0.4373320287018917,3.83208088714938,2.1185714285714288,3.781239399869537,0.5591324200913241,3.221976516634051,820.0
19,Baglung,2018-10-04,28.3,83.59999999999998,4.13557268722467,79.39742290748899,8.557687224669603,68.5319603524229,12.51977973568282,5.76046255506608,17.573678414096914,8.599889867841409,8.973876651982378,11.41385462555066,1.98431718061674,4.127290748898679,0.3894052863436123,3.7376211453744497,2.032753303964758,3.6502422907488983,0.5000440528634361,3.150418502202643,820.0
20,Baitadi,1981-01-01,29.5,80.5,1.5186993464052287,73.79617647058824,6.048915032679739,54.39067320261437,8.95086274509804,-0.8365359477124183,15.434287581699346,3.70224183006536,11.73224183006536,8.516267973856209,2.3049281045751635,4.904313725490196,0.3898888888888889,4.514183006535948,2.268562091503268,4.336901960784314,0.4805098039215686,3.856496732026144,1935.0
21,Baitadi,1985-03-11,29.5,80.5,1.3009007832898172,73.83116187989556,5.756390339425588,49.27298302872063,10.036801566579634,-1.4326697127937336,16.723361618798954,4.521958224543081,12.201494778067884,9.815117493472584,2.3771279373368146,5.103603133159269,0.3918668407310705,4.711625326370757,2.32894908616188,4.500110966057441,0.4845169712793734,4.015587467362924,1935.0
22,Baitadi,1989-05-21,29.5,80.5,0.9178002610966056,73.83677545691906,6.036442558746736,49.6398955613577,10.403453002610966,-0.8747650130548303,17.062003916449086,5.084164490861618,11.977734986945167,10.536429503916448,2.4013968668407317,5.249360313315927,0.3851501305483028,4.864033942558747,2.327049608355092,4.584856396866841,0.4757571801566579,4.108968668407311,1935.0
23,Baitadi,1993-07-31,29.5,80.5,1.0152477183833115,73.8266558018253,6.273983050847458,51.68546936114733,10.21506518904824,-0.4993155149934811,16.755430247718383,5.023050847457627,11.732333767926988,10.268344198174706,2.38344850065189,5.220677966101695,0.3890873533246414,4.831825293350717,2.310586701434159,4.555299869621903,0.4807235984354628,4.074439374185137,1935.0
24,Baitadi,1997-10-12,29.5,80.5,1.1242885117493473,73.83568537859009,6.050300261096606,49.60571148825065,10.124321148825064,-1.3193146214099216,16.788479112271542,4.882552219321148,11.905855091383811,9.95608355091384,2.355966057441253,5.10443864229765,0.3887793733681462,4.715456919060053,2.285704960835509,4.435130548302872,0.4814360313315927,3.95364229765013,1935.0
25,Baitadi,2001-12-22,29.5,80.5,1.6189106327462492,73.87202217873451,6.094344422700587,52.91571428571428,9.728062622309196,-0.6813307240704501,16.11191128506197,4.586973255055447,11.525153294194393,9.334514024787998,2.2926940639269406,4.8780495759947815,0.3968884540117416,4.481245923026745,2.2560143509458577,4.292720156555773,0.4935225048923679,3.799412915851272,1935.0
26,Baitadi,2006-03-04,29.5,80.5,2.128994778067885,73.86200391644908,6.739079634464752,57.68113577023499,9.963955613577024,0.7931396866840731,16.00365535248042,4.931729765013055,11.072016971279377,9.5475,2.241103133159269,4.684216710182768,0.4163250652741515,4.268113577023499,2.2215992167101826,4.135600522193212,0.5169712793733682,3.618544386422976,1935.0
27,Baitadi,2010-05-14,29.5,80.5,2.650574412532637,73.81569190600523,7.320809399477806,64.2033681462141,9.879281984334204,2.305822454308094,15.539549608355092,5.100483028720626,10.43917101827676,9.51144908616188,2.2555417754569187,4.716612271540471,0.4124738903394255,4.304229765013055,2.255665796344648,4.241977806788512,0.5185835509138381,3.7234660574412537,1935.0
28,Baitadi,2014-07-24,29.5,80.5,2.063724722765819,73.8883105022831,7.518153946510111,61.67495759947816,10.660900195694715,2.511526418786693,16.475133724722767,5.995329419439009,10.47979125896934,10.34535551206784,2.3064970645792564,4.965029354207436,0.4245140247879974,4.540671885192434,2.305388127853881,4.445831702544031,0.5334181343770384,3.912348336594912,1935.0
29,Baitadi,2018-10-04,29.5,80.5,1.8509251101321589,73.93786343612335,6.717709251101322,64.03636563876651,8.573832599118942,1.1441189427312777,14.564515418502202,3.5907488986784144,10.973612334801762,7.875814977973568,2.2040308370044053,4.646519823788546,0.4054405286343612,4.24136563876652,2.216651982378855,4.20204845814978,0.500704845814978,3.701409691629956,1935.0
